
? CHAPTER ONE  ?
11  Masego
12  Mbali
13  Mosa
14  Naledi
15  Nbushe
16  Nkosazana
17  Nobanzi
18  Nomalanga
19  Nomble
20  Nomusa
South African Female
1  Nomuula
2  Nonyameko
3  Nosizwe
4  Ntombi
5  Nyarai
6  Puleng
7  Rufaro
8  Rumbidzai
9  Sarafiiia
10  Sekai
11  Sethunya
12  Siboniso/Sibonakaliso
13  Siphiwe
14  Tapiwa
15  Tariro
16  Tendai
17  Thandiwe
18  Thulile
19  Tsholofelo
20  Zola
South African Male
1  Ayize
2  Baruti
3  Bongani
4  Darakai
5  Dingane
6  Ganya
7  Gogo
8  Fenyang
9  Kefentse
10  Kgosi
11  Kopano
12  Lefu
13  Lenka
14  Lesedi
15  Letsego
16  Mamello
17  Masamba
18  Melisizwe
19  Mosegi
20  Moswen
South African Male
1  Mothudi
2  Nkosana
3  Nkosi 
4  Nku
5  Nolizewe
6  Nonceba
7  Paki
8  Shaka
9  Sigidi
10  Sipliwo
11  Sizwe
12  Tau
13  Tebogo
14  Thaba
15  Thandiwe
16  Themba
17  Thulani
18  Tichaona
19  Tumelo
20  Uuka
Spanish Female 
1  Aracelle
2  Belicia
3  Bianca
4  Carmelita
5  Delores
6  Encarnación
7  Estella
8  Fortunata
9  Juana
10  Lavina
11  Madra
12  Mariposa
13  Marisol
14  Nevara
15  Olevia
16  Reyna
17  Sierra
18  Sonora
19  Tia
20  Yamile
Spanish Male
1  Abejundio
2  Amato
3  Ciro
4  Concepcion
5  Emilio
6  Enrique
7  Esteban
8  Jacián
9  Luis
10  Marcelo
11  Miquel
12  Otilio
13  Paciano
14  Ramón
15  Renaldo
16  Raphael
17  Santiago
18  Sevastián
19  Vega
20  Xaviar

? APPENDIX  ?
Turkish Female
1  Aga
2  Almas
3  Ayla
4  Ayesel
5  Baharah
6  Ceren
7  Dilara
8  Ebru
9  Emel
10  Gona
11  Hanife
12  Harika
13  Ilkay
14  Lale
15  Muge
16  Nergis
17  Ozge
18  Rafat
19  Sevde
20  Yagmur
Turkish Male
1  Ahmet
2  Asil
3  Aydin
4  Bajram
5  Diyanat
6  Ediz
7  Ekrem
8  Enes
9  Gokhan
10  Hasad
11  Karamet
12  Koray
13  Murat
14  Ramazan
15  Rifat
16  Sedat
17  Seref
18  Serkan
19  Timur
20  Umit
Ukranian Female 
1  Anastasiya
2  Bohdana
3  Bohuslava
4  Boyka
5  Daniela
6  Daryna
7  Kalyna
8  Kateryna
9  Lyudmyla
10  Mikhaila
11  Mykhaila
12  Nataliya
13  Natalka
14  Oksana
15  Olena
16  Oxana
17  Sofiya
18  Vasylna
19  Viktoriya
20  Wasylyna
Ukranian Male 
1  Andriy
2  Bohdan
3  Borysko
4  Danilo
5  Dmytro
6  Fedir
7  Hedeon
8  Kyrylo
9  Lyaksandro
10  Matviyko
11  Mykola
12  Olek
13  Oleksiy
14  Pavlo
15  Symon
16  Taras
17  Vasyl
18  Volodymyr
19  Yakiv
20  Yosyp
Welsh Female 
1  Anwen
2  Bethan
3  Branwen
4  Cerys
5  Delyth
6  Eigr
7  Enit
8  Ffion
9  Glenice
10  Gwenyth
11  Hafren
12  Heledd
13  Lynn
14  Megan
15  Meinwen
16  Nimue
17  Olwen
18  Rhiannon
19  Siani
20  Tegwen
Welsh Male 
1  Aeron
2  Bran
3  Cadeyrn
4  Cai
5  Drystan
6  Elyan
7  Garreth
8  Glynn
9  Halwn
10  Idris
11  Ieuan
12  Llyr
13  Logress
14  Madog
15  Meuric
16  Ofydd
17  Pryce
18  Rhydderch
19  Siorus
20  Tudyr

? APPENDIX  ?
West African Female
1  Adama
2  Adjoa
3  Agbenyaga
4  Akpena
5  Anulika
6  Atsukpi
7  Ayo
8  Azinza
9  Bela
10  Binata
11  Chinaka
12  Chinara
13  Dela o Kande
14  Ebiere
15  Effiwat
16  Esi
17  Gyamfua
18  Gzifa
19  Iverem
20  Jaineba
West African Female
1  Kambiri
2  Kanika
3  Makemba
4  Mawunyaga
5  Monifa
6  Naki
7  Nkechi
8  Ola
9  Onaedo
10  Sadio
11  Saran
12  Sela
13  Sroda
14  Tafui
15  Tarana
16  Uchenna
17  Ulu
18  Urenna
19  Zinsa
20  Zola
West African Male
1  Abrafo  
2  Adjatay
3  Adom
4  Ahmadou
5  Akintunde
6  Akinyemi
7  Babatunde
8  Cheikh
9  Chinua
10  Danso
11  Diara
12  Domevlo 
13  Dzigbode
14  Essien
15  Ezeji
16  Fodjour
17  Gyamfi 
18  Idrissa
19  Jawara
20  Kashka
West African Male
1  Kayin
2  Kofi
3  Kwabena
4  Kwame
5  Lumumba  
6  Manu
7  Morenike
8  Ndulu
9  Obasi
10  Obike
11  Odion
12  Ohini
13  Ojo
14  Senghor
15  Tonye
16  Tunde
17  Yavu
18  Yesuto
19  Yohance
20  Zebenjo

? APPENDIX  ?
Traditional Female Names
1  Abigail
2  Adriane
3  Alaine
4  Alana
5  Alarice
6  Aleen
7  Alexa
8  Alexandra
9  Alicia
10  Althea
11  Amalthea
12  Amanda
13  Amberjill
14  Amelia
15  Anastasia
16  Angela
17  Anne
18  Antoinette
19  Ariana
20  Ariel
Traditional Female Names
1  Astrid
2  Audra
3  Audrey
4  Ava
5  Averill
6  Avery
7  Barbara
8  Beatrice
9  Beccalyn
10  Bella
11  Bernadette
12  Bernice
13  Bethany
14  Beverly
15  Bianca
16  Blythe
17  Bonnie
18  Braylyn
19  Brenda
20  Brielle
Traditional Female Names
1  Brooke
2  Calista
3  Candace
4  Carmel
5  Carmen
6  Carol
7  Carolyn
8  Cassandra
9  Cecilia
10  Cecily
11  Celene
12  Celeste
13  Charlize
14  Charlotte
15  Chelsea
16  Cherilyn
17  Chloe
18  Christabel
19  Christina
20  Constance
Traditional Female Names
1  Cora
2  Corlis
3  Corrine
4  Courtney
5  Crystal
6  Cynthia
7  Daena
8  Daeni
9  Danielle
10  Daphne
11  Daralis
12  Daria
13  Darlene
14  Dawn
15  Dayanarah
16  Deborah
17  Della
18  Delilah
19  Denise
20  Diane
Traditional Female Names
1  Dominique
2  Eden
3  Edith
4  Elaine
5  Elenore
6  Eliana
7  Elise
8  Eliza
9  Elizabeth
10  Ella
11  Ellen
12  Emily
13  Emma
14  Eunice
15  Evelyn
16  Faith
17  Frances
18  Francesca
19  Gia
20  Gianna
Traditional Female Names
1  Gloria
2  Glory
3  Grace
4  Gracelynn
5  Guinevere
6  Gwendolyn
7  Hailey
8  Halle
9  Hannah
10  Hazel
11  Heather
12  Helen
13  Hermia
14  Hillary
15  Holly
16  Hope
17  Irene
18  Iris
19  Isabella
20  Isabelle

? APPENDIX  ?
Traditional Female Names
1  Isolde
2  Ivy
3  Jacqueline
4  Jamie
5  Janelle
6  Janice
7  Jayden
8  Jayne
9  Jenna
10  Jennifer
11  Jessica
12  Jillian
13  Joanna
14  Jordan
15  Joyce
16  Judith
17  Juliet
18  Juliana
19  Karen
20  Karis
Traditional Female Names
1  Karly
2  Kate
3  Kay
4  Kelsey
5  Kerrie
6  Kiara
7  Kiersten
8  Kimberley
9  Kyra
10  Laela
11  Lana
12  Lara
13  Larissa
14  Laura
15  Lauray
16  Laurel
17  Lauren
18  Leanne
19  Lillian
20  Lily
Traditional Female Names
1  Lina
2  Lois
3  Lorena
4  Louise
5  Lucille
6  Lydia
7  Mabel
8  Madeline
9  Madison
10  Mae
11  Makayla
12  Mallory
13  Margaret
14  Mariah
15  Marilyn
16  Marjorie
17  Marrissa
18  Matheny
19  Maura
20  Maxine
Traditional Female Names
1  Maya
2  Megan
3  Melanie
4  Melissa
5  Meredith
6  Merrill
7  Mia
8  Michelle
9  Miranda
10  Miriam
11  Monica
12  Nadine
13  Naema
14  Nancy
15  Naomi
16  Natalie
17  Nicole
18  Nina
19  Noelle
20  Nora
Traditional Female Names
1  Nyssa
2  Odessa
3  Olivia
4  Opal
5  Ophelia
6  Orianna
7  Paige
8  Pamela
9  Patrice
10  Patricia
11  Paula
12  Paulina
13  Penelope
14  Petra
15  Phoebe
16  Priscilla
17  Rachel
18  Rae
19  Raina
20  Raquel
Traditional Female Names
1  Rebecca
2  Regina
3  Renee
4  Rhianna
5  Rhiannon
6  Rochelle
7  Romilly
8  Rosa
9  Rosalie
10  Rosemary
11  Rowena
12  Ruby
13  Rumer
14  Ruth
15  Sabine
16  Sadie
17  Samantha
18  Sarah
19  Sasha
20  Selma

? APPENDIX  ?
Traditional Female Names
1  Seraphina
2  Serena
3  Sharon
4  Shauna
5  Shelby
6  Sibyl
7  Silvia
8  Simone
9  Sloane
10  Sonja
11  Stephanie
12  Stockard
13  Sussana
14  Skylar
15  Sydney
16  Tabitha
17  Talia
18  Tamara
19  Tanya
20  Tarryn
Traditional Female Names
1  Tatum
2  Taylor
3  Teresa
4  Tessa
5  Tiffany
6  Trina
7  Trista
8  Tyler
9  Tyra
10  Valentina
11  Valeria
12  Vanessa
13  Verena
14  Veronica
15  Veronique
16  Verra
17  Vianti
18  Victoria
19  Viola
20  Vivian
Traditional Male Names
1  Aaron
2  Abraham
3  Adam
4  Alan
5  Albert
6  Alden
7  Alexander
8  Alfred
9  Alister
10  Alvin
11  Amos
12  Andre
13  Andrew
14  Anson
15  Anthony
16  Armon
17  Arnold
18  Arthur
19  Ash
20  Aurek
Traditional Male Names
1  Austin
2  Axel
3  Bacchus
4  Barnabas
5  Bartholomew
6  Basil
7  Benedict
8  Benjamin
9  Bennett
10  Bernard
11  Bertram
12  Blake
13  Boris
14  Brennan
15  Brody
16  Bruce
17  Burton
18  Buster
19  Byron
20  Caleb
Traditional Male Names
1  Carmine
2  Carter
3  Cecil
4  Cedric
5  Charles
6  Charlton
7  Chauncey
8  Chester
9  Christopher
10  Clarence
11  Clark
12  Claude
13  Clayton
14  Clement
15  Clifton
16  Clinton
17  Clyde
18  Colin
19  Colm
20  Connor
Traditional Male Names
1  Conrad
2  Constantine
3  Cornelius
4  Cortland
5  Corwin
6  Cosgrove
7  Cosmo
8  Craig
9  Curtis
10  Cyril
11  Dale
12  Damian
13  Damon
14  Dane
15  Daniel
16  Darin
17  Darius
18  Darwin
19  Daryl
20  David

? APPENDIX  ?
Traditional Male Names
1  Davion
2  Davis
3  Dean
4  Decker
5  Demetrius
6  Dennis
7  Derek
8  Dexter
9  Dillon
10  Dirk
11  Dixon
12  Doan
13  Dominick
14  Douglas
15  Doyle
16  Drake
17  Dugan
18  Duncan
19  Dwight
20  Earl
Traditional Male Names
1  Edgar
2  Edmund
3  Edward
4  Edwin
5  Egor
6  Eli
7  Elliot
8  Ellis
9  Emmett
10  Eric
11  Ernest
12  Ethan
13  Etienne
14  Eustace
15  Evan
16  Falkner
17  Faust
18  Ferdinand
19  Fitch
20  Fitzgerald
Traditional Male Names
1  Floyd
2  Forbes
3  Francis
4  Franklin
5  Frederick
6  Fuller
7  Gabriel
8  Gallagher
9  Galt
10  Gareth
11  Garth
12  Gaius
13  Gene
14  George
15  Gerald
16  Gerard
17  Gideon
18  Gilbert
19  Giles
20  Godfrey
Traditional Male Names
1  Gordon
2  Graham
3  Granger
4  Grant
5  Gray
6  Gregory
7  Griswold
8  Grover
9  Gus
10  Guy
11  Hale
12  Hannibal
13  Harding
14  Harold
15  Harris
16  Henry
17  Herman
18  Hogan
19  Homer
20  Horace
Traditional Male Names
1  Howard
2  Hugh
3  Humphrey
4  Ian
5  Ingram
6  Ira
7  Isaac
8  Ivan
9  Ives
10  Jacob
11  James
12  Jared
13  Jason
14  Jasper
15  Jeffrey
16  Jeremy
17  Jerome
18  Jesse
19  Joel
20  John
Traditional Male Names
1  Jonah
2  Jonathan
3  Joseph
4  Joshua
5  Julius
6  Justin
7  Kane
8  Karl
9  Keith
10  Kirk
11  Kyle
12  Lawrence
13  Leonard
14  Lester
15  Lionel
16  Logan
17  Louis
18  Lucas
19  Luther
20  Lyle

? APPENDIX  ?
Traditional Male Names
1  Malcolm
2  Marc
3  Marcus
4  Martin
5  Maurice
6  Maximillian
7  Micah
8  Michael
9  Milos
10  Montgomery
11  Morgan
12  Mortimer
13  Murphy
14  Murray
15  Nathaniel
16  Nicholas
17  Oliver
18  Orson
19  Osric
20  Oswald
Traditional Male Names
1  Otis
2  Owen
3  Paul
4  Peter
5  Philip
6  Phineas
7  Randolph
8  Randy
9  Raymond
10  Reece
11  Reuben
12  Richard
13  Robert
14  Rodney
15  Roger
16  Roland
17  Rory
18  Roscoe
19  Ross
20  Roy
Traditional Male Names
1  Royce
2  Rykard
3  Samson
4  Samuel
5  Saul
6  Scott
7  Sebastian
8  Seth
9  Simon
10  Solomon
11  Spencer
12  Stephen
13  Stewart
14  Sylvester
15  Terence
16  Thomas
17  Timothy
18  Titus
19  Tobias
20  Trent
Traditional Male Names
1  Tr o y
2  Tyler
3  Ulric
4  Ulysses
5  Vaughn
6  Vincent
7  Wade
8  Wallace
9  Walter
10  Ward
11  Warren
12  Wayne
13  Wesley
14  William
15  Wyatt
16  Wynn
17  Xavier
18  Zachariah
19  Zane
20  Zeke

Female Dwarf Names
1  Barynd Goldsure
2  Dalshar Shielddeath
3  Duerif Fanghigh
4  Eldred Redblade
5  Eraral Deathflame
6  Farinkyr Clawsinger
7  Glandred Flamewind
8  Glanser Highlion
9  Glimjak Wiseheart
10  Gloril Stormstone
11  Harlynd Starbane
12  Helgunmalk Shieldstrong
13  Marfhig Hearthammer
14  Marismek Hornflame
15  Nalanest Bearshadow
16  Obryn Fangweaver
17  Reiaerg Shadowgold
18  Therhildvin Runewise
19  Vongyth Bonechanger
20  Werdrid Cleaverhorn
Male Dwarf Names
1  Barrintek Greyfang
2  Belgrim Liondark
3  Dalduum Singsilver
4  Deldalgirn Stormheart
5  Droakgirn Brotherhammer
6  Farvir Speargold
7  Glortack Runespear
8  Helinack Highdeath
9  Kilgen Bladestar
10  Nalicral Slyslayer
11  Norchig Runecarver
12  Norgyth Bowshield
13  Nurgath Axehigh
14  Oksten Hammerclaw
15  Ovthald Fistwise
16  Therllagg Heartblade
17  Thorvir Runeshadow
18  Thrabar Freehelm
19  Urnvillilyr Clanbrother
20  Yurrim Strongflame

? APPENDIX  ?
Female Elf Names
1  Aral Elari
2  Aerlan Lirisen
3  Allith Nielynlynlan
4  Dorathor Githmar
5  Eien Myrareirion
6  Elroana Sordia
7  Gilthani Thanmar
8  Linlith Aslan
9  Linly Meryon
10  Lorauen Thieldel
11  Lyri Farsil
12  Lyrlith Niellyn
13  Merion Rinor
14  Meryrian Syliri
15  Nielial Linlal
16  Seldalerya Ignirya
17  Silry Lyrri
18  Sortha Condia
19  Synarian Narril
20  Synril Yilian
Male Elf Names
1   Athath Brimdormar
2  Cirmardon Thanentor
3  Coanor Ethilfin
4  Elnar Allylan
5  Ethilmar Loruen
6  Eysion Rilnor
7  Hinrond Eloltor
8  Lirlir Lini
9  Lorath Ralordor
10  Merrieth Ninnal
11  Nimfin Elogol
12  Rilial Elliael
13  Riyal Narlir
14  Rinarril Lan
15  Ronial Synirlen
16  Rynlenial Erylor
17  Rylael Anion
18  Synnal Niela
19  Suelinar Enishal
20  Tricalis Shothonora
Generic Sylvan Names
1  Althainis Silverleaf
2  Ariana
3  Ash Fireblight
4  Bellows Halftooth
5  Delis Manbane
6  Dulcinea Laughingwind
7  Falla Moonsong
8  Honeydew
9  Jayli Treeskimmer
10  Lilly Highlock
11  Luft Twitterbow
12  Melody
13  Miska Dalewind
14  Misty Shadowwood
15  Pappilion Snowdreamer
16  Quilan Ardenmirth
17  Spitfyre Gloíwing
18  Sylvanus Blueglade
19  Thistleberry Briarwing
20  Vale Swiftblade
Tribal Names 
1  Ak'ten the Blood Drinker
2  Black Horn
3  Boory the Fire Bringer
4  Fellkirk the Basher
5  Gooresh the Rock Thrower
6  Gruff the Loud
7  Hk'toon the Spear
8  Jak'talak Little Dragon
9  Krasjak the One Ear
10  Kreetona the Ugly
11  Kri the Fast
12  Magdela Strong Fist
13  Mishkar the Sly
14  Miskar Razor Tooth
15  Parig the Bowsworn
16  Red Fist of the Hammer
17  Reton the Green Eye
18  Rexor the Maul
19  Rontik'thar Blood Red
20  Thogdar Axe Smasher
Tribal Names, Exotic
1  Bakota
2  Chokwe
3  Dogon
4  Ekoi
5  Fang
6  Guro
7  Ishan 
8  Jukun
9  Khota
10  Kran
11  Luba
12  Mambunda
13  Nalu
14  Oron
15  Pende
16  Senufo
17  Tabwa
18  Urhobo
19  Wongo
20  Yoruba
Adventuring Group Names
1  Band of Strength
2  Ebon Boarsmen
3  Emerald Delvers
4  Emissars of Justice
5  Fellowship of the Skull
6  Friends of Chaos
7  Glorious Adventurers
8  Golden Adventurers
9  Keepers of Bloody Coins
10  Laughing Warriors
11  Lucky Knights
12  Mercenaries of Light
13  Mysterious Vagabonds
14  Mystic Followers
15  Raiders of Shining Secrets
16  Seekers of Truth
17  Strangers of Fangs
18  Travelers of the Road
19  Unlikely Company
20  Vagabonds of the Standard

? APPENDIX  ?
Animal Names
1  Amber
2  Angel
3  Bishop
4  Blossom
5  Buddy
6  Captain
7  Dodger
8  Empress
9  Fangs
10  Ginger
11  Growler
12  Hunter
13  Indigo
14  Ivory
15  Jack
16  Jasmine
17  Karma
18  Lady
19  Lucky
20  Magnolia
Animal Names
1  Max
2  Natasha
3  Onyx
4  Oscar
5  Princess
6  Queen
7  Rascal
8  Sable
9  Samson
10  Shadow
11  Taboo
12  Thunder
13  Uzuri
14  Valentia
15  Vixen
16  Whiskers
17  Whisper
18  Xia
19  Yardley
20  Zasha
Celestial Names
1  Adna Peacebringer 
2  Barqtel the Hospitaler 
3  Carael Truthtender 
4  Dalphon the Purewarden 
5  Elenjie Hearthkeeper 
6  Epheres the Heart of Song 
7  Famtel Hopebringer 
8  Favashea Sincleaver 
9  Framardin Sweetlaughter 
10  Kafthi the Kind 
11  Makzian Redeemer 
12  Marentia the Wrongbearer 
13  Minthra the Content
14  Nathanael Heartkeeper 
15  Nermiah the Forgiver 
16  Rakael Honorbinder 
17  Shauli Hopeminister 
18  Summansiles Illbalm 
19  Tethiel the Teacher 
20  Vherin the Heavenly Light
Infernal Names
1  Admosell the Cloven 
2  Azaphilim the Lie of Mercy 
3  Balbaddon the Deviant 
4  Balberyiah the Shameless 
5  Carnivart the Heartless 
6  Fokotal the Doubter 
7  Gressilon, Prince of Filth 
8  Lezerean Falsehope 
9  Malazel, Reaper of Hope 
10  Marlik the Disobedient 
11  Marviah Hatebringer 
12  Murneas Lieking 
13  Nelrau Sinbringer 
14  Olimael Vowbreaker 
15  Phenial the Just Culler 
16  Pridemonger 
17  Rolacof Hopeblighter 
18  Saligress the Obscene 
19  Samadon the Impatient 
20  Vermine the Afflicted
Nicknames
1  Big
2  Boomer
3  Bricktop
4  Bucky
5  Bulldog
6  Buster
7  Cracked
8  Diamond
9  Digger
10  Dipsy
11  Dizzy
12  Dragon
13  Duchess
14  Dunker
15  Fast
16  Fat(s)
17  Ginger
18  Goldie
19  Grumpy
20  Ironsides
Nicknames
1  Jolly
2  Junior
3  Lefty
4  Mad
5  Old
6  Pop
7  Preacher
8  Red
9  Rusty
10  Shorty
11  Slick
12  Smokey
13  Spinner
14  Stout
15  Stubby
16  Sunny
17  Tapper
18  Tinker
19  Tiny
20  Trapper

? APPENDIX  ?
Tavern Names
1  Archer and Moon Inn
2  Ashen Elf Inn
3  Bailey's Portcall
4  The Baron's Alehouse
5  Black Dragon Tavern
6  Brimmed Jeweled Alehouse
7  Broken Horn Inn and Stables
8  The Cauldron
9  Crest of the Griffon
10  Chimera and Pony
11  Connor's Well
12  Crossroad and Maiden Lodge
13  The Dancing Mare
14  Dark Paladin Hall
15  The Demon's Cellar
16  Dragon and Guardian
17  The Duke's Goblet
18  Dwarf and Lantern Alehouse
19  Earthly Delight's Inn and Bathhouse
20  The Everful Chalice Tavern
Tavern Names
1  Falconcall Pub
2  Fiery Hound Guesthouse
3  Flask and Flail
4  Four Orcs Lodge
5  Giant's Saddle Inn
6  The Gold Obelisk Tavern Hall
7  Golem and Gander Tavern
8  Gorgon's Breath Brewery
9  The Gilded Goose
10  The Green Sage
11  Greyhound's Folly and Whistle
12  Griffon's Roar Tavern and Stables
13  Growling Bag Inn
14  Harpy's Breath Tavern
15  Hearty Buxom Wench
16  Howling Siren Alehouse
17  The Huntsman's Rest
18  Ivory Flute Roadhouse
19  The Jackal and the Stag
20  Janik's Watering Hole
Tavern Names
1  Khylan's Place
2  The Kinsman
3  The Knightman's Pub
4  The Last Stop
5  The Lazy Huntsman
6  The Lucky Vicar
7  The Man-at-Arms
8  Murky Bear Lodge
9  Nightman's Brother Tavern and Inn
10  Nine and Six
11  North Ship Hall
12  The Ogre and the Knave
13  Pelican Flight and Shield Roadhouse
14  The Plowman's Furrow
15  The Pointed Rabbit House
16  Quiver and Stallion Inn
17  Pemin's Lament
18  Ram's Head
19  The Roc's Nest
20  The Rogue's Arms
Tavern Names
1  Rook's
2  Ruhgar's House
3  The Sceptre and the Rose
4  The Sheriff's Stein
5  Sleeping Hawk Inn
6  Squire and Knight Brewery
7  The Stonemason's Fist
8  The Stocks
9  Tall Flagon Tavern
10  Tankard and Gull
11  Tiger's Teeth Inn
12  The Traveler's Mug
13  Troll's Head Inn
14  The Warrior and Jester Meadhall
15  Whispering Winds
16  Whit e Wyrm Pub
17  Witch Meadow Run Inn
18  Worthy Centaur Lodge
19  The Wounded Boar
20  Wyvern's Watch and Stable

? APPENDIX  ?
NPC Hirelings
1  Acrobat
2  Actor
3  Animal trainer
4  Anvilsmith
5  Apothecary
6  Appraiser
7  Architect
8  Arbiter
9  Armorer
10  Artist
11  Baker
12  Barrister
13  Basketweaver
14  Barber
15  Bargeman
16  Beekeeper
17  Blacksmith
18  Bookbinder
19  Bowyer
20  Brewer
NPC Hirelings
1  Brickmaker
2  Butcher
3  Candlemaker
4  Carpenter
5  Cartographer
6  Cartwright
7  Charcoalmaker
8  Cheesemaker
9  Chimney sweep
10  City Official
11  Clerk
12  Clothier
13  Cobbler
14  Coinminter
15  Cook
16  Cooper
17  Coppersmith
18  Courtesan
19  Crier
20  Cutler
NPC Hirelings
1  Dancer
2  Diplomat
3  Dockmaster
4  Dockworker
5  Driver
6  Dyer
7  Embroiderer
8  Engineer
9  Engraver
10  Executioner
11  Falconer
12  Farmer
13  Farrier
14  Fencer
15  Fisherman
16  Fletcher
17  Forester
18  Fortune Teller
19  Furrier
20  Gardener
NPC Hirelings
1  Glassblower
2  Goldsmith
3  Gravedigger
4  Guardsman
5  Guide
6  Haberdasher
7  Haymonger
8  Helmsman
9  Herald
10  Herbalist
11  Hornsmith
12  Horsebreeder
13  Hostler
14  Houndsman
15  Hunter
16  Innkeeper
17  Jailer
18  Jester
19  Jeweler
20  Lacemaker
NPC Hirelings
1  Lamplighter
2  Laundress
3  Leatherworker
4  Librarian
5  Locksmith
6  Maid
7  Mason
8  Mercenary
9  Merchant
10  Messenger
11  Midwife
12  Miller
13  Miner
14  Minstrel
15  Moneychanger
16  Musician
17  Navigator
18  Needleworker
19  Noble
20  Notary
NPC Hirelings
1  Nursemaid
